experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,display_name,graph_bucket,source_file,train_rows,target_mode,normalization_mode,feature_count,candidate_index,params_json,artifact_path,device,train_windows,validation_windows,target_encoding
focused_tabular,lightgbm_tuned,wheat,1,528,2025-09-02,2025-11-30,32.05047028597721,50.568717300117605,0.7916271307001335,1.2671294784500222,1.26355141536352,lightgbm_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,2.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_samples"": 30, ""n_estimators"": 350, ""num_leaves"": 47, ""subsample"": 0.85}",artifacts/lightgbm/wheat/wheat_lightgbm_1d.joblib,,,,
focused_tabular,xgboost_tuned,wheat,1,528,2025-09-02,2025-11-30,31.98460570370012,50.80338428239165,0.7896887113553418,1.2650700100524384,1.2609547830702663,xgboost_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,20000.0,,,33.0,1.0,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 250, ""subsample"": 0.85}",artifacts/xgboost/wheat/wheat_xgboost_1d.joblib,,,,
simple_model,numeric_histgb_simple,wheat,1,528,2025-09-02,2025-11-30,32.20690983778691,51.094581546796896,0.7872708571942144,1.2744657111490665,1.269718857380571,numeric_histgb_simple,non_graph,simple_numeric_metrics/simple_numeric_metrics.csv,20000.0,,,,,,,,,,
classical_ml,linear_regression,wheat,1,528,2025-09-02,2025-11-30,33.575220482001015,51.387426012124614,0.7848253894353877,1.3277645574072423,1.3236628661806586,linear_regression,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,ridge_alpha_10,wheat,1,528,2025-09-02,2025-11-30,33.65299280559033,51.4580093151155,0.7842338764336767,1.3310245164011816,1.326728946917402,ridge_alpha_10,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
classical_ml,elasticnet_a001_l05,wheat,1,528,2025-09-02,2025-11-30,33.75485477314786,51.63141114125592,0.7827772604822326,1.3353965755240071,1.3307447330238336,elasticnet_a001_l05,non_graph,classical_ml_metrics/classical_ml_metrics.csv,20000.0,,,33.0,,,,,,,
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,1,528,2025-09-02,2025-11-30,36.13605545475538,55.04976876915337,0.7530617904906397,1.425974707973217,1.424620718763305,histgb_cross_crop_delta_current_mean_center,non_graph,cross_crop_histgb_metrics/cross_crop_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
baseline,roll_mean_7,wheat,1,528,2025-09-02,2025-11-30,35.31470977801961,55.05455982449456,0.7530188058918947,1.387359005214856,1.3922401488970262,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_7,wheat,1,528,2025-09-02,2025-11-30,35.31470977801961,55.05455982449456,0.7530188058918947,1.387359005214856,1.3922401488970262,roll_mean_7,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
tabular_variant,histgb_delta_current_mean_center,wheat,1,528,2025-09-02,2025-11-30,36.71340717500732,55.38642727780492,0.7500322390509527,1.44968979431544,1.4473821190416056,histgb_delta_current_mean_center,non_graph,anchored_histgb_metrics/anchored_histgb_metrics.csv,10000.0,delta_current,series_mean_center,,,,,,,,
focused_temporal,tcn_tuned,wheat,1,528,2025-09-02,2025-11-30,38.09202575683594,56.13598253487909,0.7432207465171814,1.5045320987701416,1.5017324686050415,tcn_tuned,non_graph,expanded_model_metrics/expanded_model_metrics.csv,,,,,2.0,"{""batch_size"": 128, ""dropout"": 0.2, ""epochs"": 10, ""hidden_channels"": 48, ""kernel_size"": 3, ""learning_rate"": 0.0007, ""weight_decay"": 1e-05, ""window_size"": 28}",artifacts/tcn/wheat/wheat_tcn_1d.pt,cpu,15000.0,528.0,log_delta_current
baseline,current_price,wheat,1,528,2025-09-02,2025-11-30,33.90653022450624,61.80241040936063,0.688765219055006,1.3450010435462398,1.3367243560848916,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,current_price,wheat,1,528,2025-09-02,2025-11-30,33.90653022450624,61.80241040936063,0.688765219055006,1.3450010435462398,1.3367243560848916,current_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,previous_day_price,wheat,1,528,2025-09-02,2025-11-30,36.178604483830526,62.08377076578217,0.6859249265484453,1.433081061468833,1.4262981632884724,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,previous_day_price,wheat,1,528,2025-09-02,2025-11-30,36.178604483830526,62.08377076578217,0.6859249265484453,1.433081061468833,1.4262981632884724,previous_day_price,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,wheat,1,528,2025-09-02,2025-11-30,47.52955410541937,68.23072745975132,0.620652435666829,1.860149071986566,1.873795761049269,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
baseline,roll_mean_28,wheat,1,528,2025-09-02,2025-11-30,47.52955410541937,68.23072745975132,0.620652435666829,1.860149071986566,1.873795761049269,roll_mean_28,non_graph,baseline_metrics/baseline_metrics.csv,,,,,,,,,,,
