experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,roll_mean_28,tomato,5,27912,2025-10-03,2025-12-31,620.837014760674,940.9123051076876,0.558456765980242,18.265567273716577,19.342338639534056
baseline,previous_day_price,tomato,6,27557,2025-10-03,2025-12-31,552.0520354116231,829.5045241783814,0.6586585504445006,16.492890025525185,17.14383959376733
baseline,current_price,tomato,6,27557,2025-10-03,2025-12-31,529.4471213600692,809.4359678529265,0.6749751940353805,16.07569984712971,16.441849571682212
baseline,roll_mean_7,tomato,6,27557,2025-10-03,2025-12-31,626.9956228908816,921.1338810024486,0.5790824596967965,18.50393695026411,19.471194190635867
baseline,roll_mean_28,tomato,6,27557,2025-10-03,2025-12-31,636.1361223644319,963.5473115811457,0.5394279295400072,18.62977720845917,19.755050143933133
baseline,previous_day_price,tomato,7,27206,2025-10-03,2025-12-31,614.9874039716335,914.0755331178141,0.5875033593775169,18.452916994445975,19.034701979400918
baseline,current_price,tomato,7,27206,2025-10-03,2025-12-31,555.3567372987559,833.321507162305,0.6571679398406571,16.54104887201522,17.18905122034314
baseline,roll_mean_7,tomato,7,27206,2025-10-03,2025-12-31,660.966470185785,970.2650222291373,0.5352311657567488,19.401476487537373,20.45781701724629
baseline,roll_mean_28,tomato,7,27206,2025-10-03,2025-12-31,651.20698760473,985.5277496682619,0.5204940928314529,18.98304908576068,20.155747672079492
baseline,previous_day_price,tomato,8,26858,2025-10-03,2025-12-31,656.2947261493803,969.208716763551,0.5382779935885424,19.53675571596516,20.243233299247567
baseline,current_price,tomato,8,26858,2025-10-03,2025-12-31,619.1123348360231,918.262444593305,0.5855428875185535,18.521409576843773,19.096352497086613
baseline,roll_mean_7,tomato,8,26858,2025-10-03,2025-12-31,692.1315933525384,1015.6758910340282,0.49294363467587,20.21077528832887,21.348611774195973
baseline,roll_mean_28,tomato,8,26858,2025-10-03,2025-12-31,666.0537513949458,1006.4432470270442,0.5021201708569483,19.31975644351063,20.544247793114252
baseline,previous_day_price,tomato,9,26510,2025-10-03,2025-12-31,694.2526887703447,1023.1664022459458,0.48783067726514673,20.54829784382925,21.339002143750978
baseline,current_price,tomato,9,26510,2025-10-03,2025-12-31,661.0835801824219,974.4608186351984,0.5354314737361968,19.631801764892135,20.319494850927043
baseline,roll_mean_7,tomato,9,26510,2025-10-03,2025-12-31,720.4920346265151,1056.6531842299178,0.4537569142092096,20.948059463686146,22.145511742535785
baseline,roll_mean_28,tomato,9,26510,2025-10-03,2025-12-31,680.7404819027216,1027.3318257357548,0.4836519927796227,19.647348208329397,20.923682165911618
baseline,previous_day_price,tomato,10,26162,2025-10-03,2025-12-31,727.9041923139353,1066.8599693490185,0.44523410436872823,21.397172229071067,22.294023636374448
baseline,current_price,tomato,10,26162,2025-10-03,2025-12-31,698.7587654225099,1027.5612925715827,0.4853518832860543,20.61123262455855,21.401366549259578
baseline,roll_mean_7,tomato,10,26162,2025-10-03,2025-12-31,745.6017534495597,1091.320324682757,0.4195037717987189,21.57171189244793,22.83605904492122
baseline,roll_mean_28,tomato,10,26162,2025-10-03,2025-12-31,695.1244882959222,1046.462778299117,0.46624434888004174,19.946966850044564,21.29005703762767
baseline,previous_day_price,tomato,11,25816,2025-10-03,2025-12-31,759.8157624229503,1112.3105989109717,0.3998428009716406,22.197799942831708,23.185713780953847
baseline,current_price,tomato,11,25816,2025-10-03,2025-12-31,733.5149104488979,1072.8550935011212,0.44166480631464955,21.506814348421653,22.383145505558996
baseline,roll_mean_7,tomato,11,25816,2025-10-03,2025-12-31,767.7953974446243,1122.209834593479,0.3891128221832909,22.11686708714731,23.42921166930908
baseline,roll_mean_28,tomato,11,25816,2025-10-03,2025-12-31,709.9476497572418,1066.1930851502016,0.44857736144695115,20.258794828698747,21.663992537140192
baseline,previous_day_price,tomato,12,25471,2025-10-03,2025-12-31,787.9326113390424,1154.2430909862126,0.35727441348717925,22.91567359407235,23.952190213458657
baseline,current_price,tomato,12,25471,2025-10-03,2025-12-31,765.7441981284073,1119.2972064355718,0.3956036100631505,22.309442973484522,23.27768951871934
baseline,roll_mean_7,tomato,12,25471,2025-10-03,2025-12-31,786.8402254734762,1147.8888078030473,0.36433153816363406,22.576926673785973,23.9189830157085
